0,47.898
1,62.554
2,68.034
3,71.412
4,74.016
5,75.884
6,77.5
7,78.492
8,79.704
9,80.258
10,80.982
11,81.874
12,82.542
13,83.22
14,83.53
15,84.264
16,84.524
17,84.954
18,85.282
19,85.854
20,86.186
21,86.314
22,86.838
23,87.18
24,87.66
25,87.558
26,88.094
27,88.126
28,88.534
29,88.642
30,88.948
31,89.022
32,89.346
33,89.496
34,89.828
35,90.014
36,90.158
37,90.492
38,90.28
39,90.554
40,90.862
41,91.026
42,91.136
43,91.462
44,91.174
45,91.676
46,91.838
47,91.884
48,92.012
